id,year,age,race,sex,educ,partyid,relactiv,abany,abdefect,abnomore,abhlth,abpoor,abrape,absingle
1,1972,23,White,Female,16,"Ind,Near Dem",NA,NA,1,1,1,1,1,1
2,1972,70,White,Male,10,Not Str Democrat,NA,NA,1,0,1,0,1,1
3,1972,48,White,Female,12,Independent,NA,NA,1,1,1,1,1,1
4,1972,27,White,Female,17,Not Str Democrat,NA,NA,0,0,1,1,1,1
5,1972,61,White,Female,12,Strong Democrat,NA,NA,1,1,1,1,1,1
6,1972,26,White,Male,14,"Ind,Near Dem",NA,NA,1,1,1,1,1,1
7,1972,28,White,Male,13,"Ind,Near Dem",NA,NA,1,0,1,0,1,1
8,1972,27,White,Male,16,"Ind,Near Dem",NA,NA,1,1,1,1,1,1
9,1972,21,Black,Female,12,Strong Democrat,NA,NA,1,0,1,0,NA,0
10,1972,30,Black,Female,12,Strong Democrat,NA,NA,1,0,1,1,1,0
11,1972,30,Black,Female,13,Strong Democrat,NA,NA,0,0,NA,NA,NA,NA
12,1972,56,Black,Male,6,Not Str Republican,NA,NA,0,0,0,1,0,1
13,1972,54,Black,Male,9,Strong Democrat,NA,NA,1,0,0,0,NA,0
14,1972,49,Black,Female,8,Not Str Democrat,NA,NA,1,1,1,1,1,1
15,1972,41,Black,Male,9,Strong Democrat,NA,NA,1,1,1,0,0,0
16,1972,54,Black,Male,14,Strong Democrat,NA,NA,1,0,1,0,1,0
17,1972,24,White,Male,14,"Ind,Near Rep",NA,NA,0,0,1,0,0,0
18,1972,62,White,Female,8,"Ind,Near Rep",NA,NA,1,0,1,0,1,0
19,1972,46,White,Female,17,"Ind,Near Dem",NA,NA,1,1,1,1,1,1
20,1972,21,White,Female,14,"Ind,Near Rep",NA,NA,1,0,1,0,1,1
21,1972,57,White,Male,12,"Ind,Near Dem",NA,NA,0,0,1,0,1,1
22,1972,58,White,Male,11,Not Str Democrat,NA,NA,1,1,1,1,1,1
23,1972,21,White,Male,13,"Ind,Near Dem",NA,NA,1,1,1,1,1,1
24,1972,26,White,Female,12,"Ind,Near Rep",NA,NA,1,0,1,1,1,1
25,1972,71,White,Female,16,Strong Republican,NA,NA,1,1,1,1,1,0
26,1972,53,White,Female,12,"Ind,Near Rep",NA,NA,0,0,0,0,1,0
27,1972,42,White,Male,12,Independent,NA,NA,1,1,1,1,1,1
28,1972,42,White,Female,12,"Ind,Near Dem",NA,NA,1,NA,1,1,1,0
29,1972,20,White,Male,12,Independent,NA,NA,0,0,1,0,0,0
30,1972,23,White,Male,9,Not Str Republican,NA,NA,1,0,1,1,0,0
31,1972,26,White,Male,6,Strong Republican,NA,NA,1,1,1,NA,NA,NA
32,1972,25,White,Female,14,"Ind,Near Rep",NA,NA,1,0,1,0,1,0
33,1972,26,White,Male,16,Strong Democrat,NA,NA,1,1,1,1,1,1
34,1972,78,White,Female,8,Not Str Republican,NA,NA,0,0,0,0,0,0
35,1972,21,White,Male,12,"Ind,Near Dem",NA,NA,1,0,1,0,0,0
36,1972,27,White,Male,14,Not Str Democrat,NA,NA,0,0,1,1,1,0
37,1972,58,White,Female,13,Not Str Republican,NA,NA,1,1,1,1,1,1
38,1972,35,White,Female,10,Not Str Democrat,NA,NA,1,0,1,1,1,1
39,1972,58,White,Male,6,Strong Republican,NA,NA,1,0,1,0,1,0
40,1972,51,White,Female,12,Not Str Republican,NA,NA,NA,0,1,0,1,0
41,1972,76,White,Female,8,Strong Democrat,NA,NA,1,0,1,0,1,0
42,1972,53,White,Male,14,Not Str Republican,NA,NA,1,0,0,0,1,0
43,1972,39,White,Male,8,"Ind,Near Rep",NA,NA,0,0,1,0,0,0
44,1972,64,White,Female,8,"Ind,Near Dem",NA,NA,1,0,1,0,1,0
45,1972,50,White,Female,8,Not Str Republican,NA,NA,0,0,1,0,1,0
46,1972,27,White,Female,12,Independent,NA,NA,1,0,1,0,1,0
47,1972,25,White,Male,14,Not Str Democrat,NA,NA,1,1,1,1,1,0
48,1972,49,White,Male,12,Other Party,NA,NA,1,0,1,1,1,1
49,1972,40,White,Male,9,Not Str Democrat,NA,NA,1,0,1,0,0,0
50,1972,43,White,Male,8,Strong Republican,NA,NA,1,0,1,0,0,0
51,1972,46,White,Male,10,Strong Democrat,NA,NA,1,1,1,1,1,1
52,1972,37,White,Male,14,"Ind,Near Dem",NA,NA,0,0,0,0,0,0
53,1972,46,White,Male,9,"Ind,Near Dem",NA,NA,1,1,1,1,1,1
